"corpus";"soneto_n";"año";"incipit";"endecasilabos";"fft_f0";"fft_f1";"fft_f2";"fft_f3";"fft_f4";"ac_lag2";"ac_lag3";"ac_lag4";"ac_lag5";"ac_lag6";"ac_lag7";"ac_lag8";"sinalefas_media";"accent_pos1";"accent_pos2";"accent_pos3";"accent_pos4";"accent_pos5";"accent_pos6";"accent_pos7";"accent_pos8";"accent_pos9";"fft_lit_f1";"fft_lit_f2";"fft_lit_f3";"fft_lit_f4";"lit_media";"lit_std";"rima_diversidad";"rima_entropia";"rima_len_media";"rima_pct_partic";"rima_base_norm"
"segura_A";"51";"1585";"Tres veces de Aquilón el soplo airado";"14/14";"4.142857";"0.698432";"1.412764";"0.881192";"1.504514";"0.255095";"-0.434899";"0.284313";"-0.326434";"0.481199";"-0.393705";"0.308265";"0.714286";"0.142857";"0.642857";"0.071429";"0.928571";"0.0";"0.642857";"0.0";"0.642857";"0.071429";"7.635129";"8.692385";"13.665066";"15.000669";"29.428571";"2.846408";"0.357143";"2.182006";"6.5";"0.285714";"6.5"
"segura_A";"162";"1605";"Clarísimo Marqués, dos veces claro";"14/14";"4.071429";"0.761399";"1.310385";"1.585465";"1.319946";"-0.000145";"-0.136422";"0.153458";"-0.026998";"-0.011919";"-0.11247";"0.115687";"0.571429";"0.285714";"0.357143";"0.357143";"0.5";"0.0";"0.857143";"0.214286";"0.428571";"0.071429";"12.07335";"11.38199";"12.39837";"3.561666";"28.571429";"3.016959";"0.642857";"2.896292";"7.642857";"0.0";"7.642857"
"segura_A";"201";"1609";"Música le pidió ayer su albedrío";"14/14";"4.071429";"0.938668";"1.015479";"1.560121";"1.430678";"0.053124";"-0.189691";"0.322357";"-0.266711";"0.121255";"-0.245644";"0.310584";"0.857143";"0.357143";"0.571429";"0.142857";"0.428571";"0.0";"0.928571";"0.142857";"0.428571";"0.071429";"0.944258";"7.066448";"1.830917";"8.681255";"28.357143";"1.756911";"0.714286";"3.093069";"6.285714";"0.0";"6.285714"
"segura_A";"17";"1582";"Raya, dorado Sol, orna y colora";"14/14";"4.0";"0.751179";"1.35289";"0.937021";"1.591416";"0.152259";"-0.28062";"0.217968";"-0.268644";"0.382131";"-0.364133";"0.232911";"0.857143";"0.285714";"0.5";"0.071429";"0.785714";"0.0";"0.571429";"0.071429";"0.714286";"0.0";"7.563778";"9.796519";"4.192232";"7.250346";"27.857143";"1.994891";"0.571429";"2.753434";"6.0";"0.0";"6.0"
"segura_A";"144";"1603";"La plaza, un jardín fresco; los tablados,";"14/14";"3.642857";"0.708873";"1.005318";"2.078549";"1.136164";"-0.117165";"-0.102557";"0.298631";"-0.147038";"-0.056364";"-0.058997";"0.257505";"0.428571";"0.142857";"0.428571";"0.428571";"0.357143";"0.142857";"0.857143";"0.0";"0.214286";"0.071429";"2.754238";"11.96615";"7.816204";"0.928563";"27.785714";"1.933855";"0.357143";"2.235926";"7.285714";"0.0";"7.285714"
"segura_A";"16";"1582";"¡Oh claro honor del líquido elemento,";"14/14";"3.785714";"0.93262";"1.095073";"1.409773";"1.172946";"0.155141";"-0.234601";"0.213624";"-0.314317";"0.2256";"-0.136502";"0.118245";"0.928571";"0.214286";"0.357143";"0.142857";"0.642857";"0.0";"0.714286";"0.071429";"0.642857";"0.0";"1.117224";"5.483742";"11.115593";"5.568773";"29.285714";"2.015248";"0.571429";"2.753434";"6.571429";"0.0";"6.571429"
"segura_A";"196";"1609";"En el cristal de tu divina mano";"14/14";"4.214286";"0.870341";"1.151133";"1.685669";"1.489642";"-0.071828";"0.003526";"0.088139";"-0.194165";"0.17874";"-0.086615";"-0.02821";"0.571429";"0.428571";"0.285714";"0.285714";"0.714286";"0.0";"0.642857";"0.214286";"0.5";"0.142857";"9.439692";"5.953636";"11.825212";"7.138622";"27.785714";"2.177107";"0.857143";"3.46772";"5.428571";"0.214286";"5.428571"
"segura_A";"137";"1603";"Hermosas damas si la pasión ciega";"14/14";"3.785714";"0.954287";"1.444654";"1.510169";"1.394081";"-0.093618";"-0.068762";"0.020145";"-0.065558";"0.180417";"-0.098766";"-0.037498";"0.285714";"0.357143";"0.214286";"0.142857";"0.714286";"0.071429";"0.571429";"0.071429";"0.357143";"0.285714";"6.90401";"10.526607";"9.069619";"14.11772";"27.0";"2.672612";"0.785714";"3.378783";"5.285714";"0.0";"5.285714"
"segura_A";"195";"1609";"Oh marinero, tú que, cortesano,";"14/14";"4.071429";"0.827641";"1.191026";"1.430031";"1.62235";"0.044033";"-0.172148";"0.215818";"-0.213441";"0.165434";"-0.210556";"0.221588";"0.642857";"0.214286";"0.5";"0.285714";"0.571429";"0.142857";"0.714286";"0.0";"0.5";"0.142857";"13.899772";"4.716924";"3.73125";"6.524571";"26.357143";"1.797107";"0.714286";"3.093069";"5.928571";"0.0";"5.928571"
"segura_A";"15";"1582";"Al tramontar del sol, la ninfa mía,";"14/14";"4.0";"0.82068";"1.017253";"1.362002";"1.201865";"0.14325";"-0.262763";"0.343289";"-0.277653";"0.167202";"-0.265677";"0.206044";"0.642857";"0.214286";"0.5";"0.214286";"0.571429";"0.0";"0.785714";"0.071429";"0.642857";"0.0";"18.123667";"7.666753";"15.267622";"4.953582";"28.357143";"2.818489";"0.785714";"3.378783";"5.5";"0.0";"5.5"
"segura_A";"42";"1584";"No destrozada nave en roca dura";"14/14";"3.857143";"0.756192";"1.230807";"1.421052";"1.42795";"0.054093";"-0.195081";"0.20291";"-0.101001";"0.132782";"-0.171129";"0.10854";"0.785714";"0.285714";"0.357143";"0.285714";"0.571429";"0.0";"0.785714";"0.071429";"0.5";"0.0";"5.988656";"3.573581";"4.315675";"5.782962";"26.571429";"1.449842";"0.714286";"3.235926";"6.928571";"0.285714";"6.928571"
"segura_A";"18";"1582";"Cual parece al romper de la mañana";"14/14";"3.928571";"0.867271";"1.045922";"1.480196";"1.42139";"0.090223";"-0.147783";"0.18353";"-0.171846";"0.141285";"-0.18698";"0.162515";"0.785714";"0.285714";"0.357143";"0.357143";"0.571429";"0.0";"0.857143";"0.071429";"0.357143";"0.071429";"11.248411";"9.196535";"12.716433";"1.805786";"29.071429";"2.313448";"0.571429";"2.807355";"6.785714";"0.0";"6.785714"
