"corpus";"soneto_n";"año";"incipit";"verso_n";"texto";"patron_binario";"sil_metricas";"sinalefas";"estrofa";"fuente_xml"
"segura_A";"12";"1582";"Sobre dos urnas de cristal labradas,";"1";"Sobre dos urnas de cristal labradas,";"10110001010";"11";"0";"cuarteto";"OBVIL_auto"
"segura_A";"12";"1582";"";"2";"de vidrio en pedestales sostenidas,";"01000100010";"11";"1";"cuarteto";"OBVIL_auto"
"segura_A";"12";"1582";"";"3";"llorando está dos ninfas ya sin vidas";"01011100010";"11";"1";"cuarteto";"OBVIL_auto"
"segura_A";"12";"1582";"";"4";"el Betis en sus húmidas moradas,";"01000100010";"11";"0";"cuarteto";"OBVIL_auto"
"segura_A";"12";"1582";"";"5";"tanto por su hermosura de él amadas,";"10000101010";"11";"2";"cuarteto";"OBVIL_auto"
"segura_A";"12";"1582";"";"6";"que, aunque las demás ninfas doloridas";"10001100010";"11";"1";"cuarteto";"OBVIL_auto"
"segura_A";"12";"1582";"";"7";"se muestran, de su tierno fin sentidas,";"01000101010";"11";"0";"cuarteto";"OBVIL_auto"
"segura_A";"12";"1582";"";"8";"él, derramando lágrimas cansadas,";"10010100010";"11";"0";"cuarteto";"OBVIL_auto"
"segura_A";"12";"1582";"";"9";"«Almas —les dice—, vuestro vuelo santo";"10010101010";"11";"0";"terceto";"OBVIL_auto"
"segura_A";"12";"1582";"";"10";"seguir pienso hasta aquesos sacros nidos,";"01110101010";"11";"2";"terceto";"OBVIL_auto"
"segura_A";"12";"1582";"";"11";"do el bien se goza sin temer contrario,";"10010001010";"11";"1";"terceto";"OBVIL_auto"
"segura_A";"12";"1582";"";"12";"que, vista esa belleza y mi gran llanto,";"01100100110";"11";"2";"terceto";"OBVIL_auto"
"segura_A";"12";"1582";"";"13";"por el cielo seremos convertidos,";"00100100010";"11";"0";"terceto";"OBVIL_auto"
"segura_A";"12";"1582";"";"14";"en Géminis vosotras, yo en Acuario».";"01000101010";"11";"1";"terceto";"OBVIL_auto"
"segura_A";"14";"1582";"Tras la bermeja Aurora el Sol dorado";"1";"Tras la bermeja Aurora el Sol dorado";"10010101010";"11";"2";"cuarteto";"OBVIL_auto"
"segura_A";"14";"1582";"";"2";"por las puertas salía, del oriente,";"00100100010";"11";"0";"cuarteto";"OBVIL_auto"
"segura_A";"14";"1582";"";"3";"ella de flores la rosada frente,";"10010001010";"11";"0";"cuarteto";"OBVIL_auto"
"segura_A";"14";"1582";"";"4";"él de encendidos rayos coronado;";"10010100010";"11";"1";"cuarteto";"OBVIL_auto"
"segura_A";"14";"1582";"";"5";"sembraban su contento o su cuidado,";"01000100010";"11";"1";"cuarteto";"OBVIL_auto"
"segura_A";"14";"1582";"";"6";"cuál con voz dulce, cuál con voz doliente,";"10110101010";"11";"0";"cuarteto";"OBVIL_auto"
"segura_A";"14";"1582";"";"7";"las tiernas aves con la luz presente,";"01010001010";"11";"0";"cuarteto";"OBVIL_auto"
"segura_A";"14";"1582";"";"8";"en el fresco aire y en el verde prado,";"00110001010";"11";"2";"cuarteto";"OBVIL_auto"
"segura_A";"14";"1582";"";"9";"cuando salió, bastante a dar, Leonora,";"100101010010";"12";"1";"terceto";"OBVIL_auto"
