corpus,soneto_n,verso_n,ultima_palabra,categoria
segura_A,51,1,airado,
segura_A,51,2,plantas,
segura_A,51,3,tantas,
segura_A,51,4,dorado,
segura_A,51,5,traspasado,
segura_A,51,6,plantas,
segura_A,51,7,santas,
segura_A,51,8,prado,
segura_A,51,9,alcores,
segura_A,51,10,vuelo,
segura_A,51,11,colores,
segura_A,51,12,pastores,
segura_A,51,13,suelo,
segura_A,51,14,flores,
segura_A,162,1,claro,
segura_A,162,2,entendimiento,
segura_A,162,3,ciento,
segura_A,162,4,avaro,
segura_A,162,5,raro,
segura_A,162,6,firmamento,
segura_A,162,7,atrevimiento,
segura_A,162,8,caro,
segura_A,162,9,dichosamente,
segura_A,162,10,hermosura,
segura_A,162,11,frente,
segura_A,162,12,pintura,
segura_A,162,13,luciente,
segura_A,162,14,oscura,
sin_asignar,900,1,lira,
sin_asignar,900,2,ella,
sin_asignar,900,3,bella,
sin_asignar,900,4,suspira,
sin_asignar,900,5,expira,
sin_asignar,900,6,querella,
sin_asignar,900,7,sella,
sin_asignar,900,8,ira,
sin_asignar,900,9,sombra,
sin_asignar,900,10,coro,
sin_asignar,900,11,movimiento,
sin_asignar,900,12,alfombra,
sin_asignar,900,13,oro,
sin_asignar,900,14,instrumento,
segura_B,285,1,süaves,
segura_B,285,2,desata,
segura_B,285,3,plata,
segura_B,285,4,graves,
segura_B,285,5,sabes,
segura_B,285,6,grata,
segura_B,285,7,escarlata,
segura_B,285,8,llaves,
segura_B,285,9,escucha,
segura_B,285,10,playa,
segura_B,285,11,serenas,
segura_B,285,12,mucha,
segura_B,285,13,atraya,
segura_B,285,14,arenas,
segura_A,201,1,albedrío,
segura_A,201,2,Peranzules,
segura_A,201,3,baúles,
segura_A,201,4,navío,
segura_A,201,5,mío,
segura_A,201,6,gazules,
segura_A,201,7,azules,
segura_A,201,8,desafío,
segura_A,201,9,pudo,
segura_A,201,10,discreto,
segura_A,201,11,mudo,
segura_A,201,12,prometo,
segura_A,201,13,Bermudo,
segura_A,201,14,soneto,
segura_B,287,1,Diego,
segura_B,287,2,breve,
segura_B,287,3,nieve,
segura_B,287,4,fuego,
segura_B,287,5,ciego,
segura_B,287,6,bebe,
segura_B,287,7,leve,
segura_B,287,8,luego,
segura_B,287,9,ella,
segura_B,287,10,dama,
segura_B,287,11,bella,
segura_B,287,12,llama,
segura_B,287,13,estrella,
segura_B,287,14,Fama,
sin_asignar,901,1,comido,
sin_asignar,901,2,vieja,
sin_asignar,901,3,deja,
sin_asignar,901,4,partido,
sin_asignar,901,5,despido,
sin_asignar,901,6,vendeja,
sin_asignar,901,7,bermeja,
sin_asignar,901,8,sido,
sin_asignar,901,9,dado,
sin_asignar,901,10,mancilla,
sin_asignar,901,11,lado,
sin_asignar,901,12,villa,
sin_asignar,901,13,prado,
sin_asignar,901,14,morcilla,
segura_B,221,1,días,
segura_B,221,2,lisonjero,
segura_B,221,3,acero,
segura_B,221,4,encías,
segura_B,221,5,Señorías,
segura_B,221,6,carnero,
segura_B,221,7,verdadero,
segura_B,221,8,Compañías,
segura_B,221,9,amos,
segura_B,221,10,cueste,
segura_B,221,11,ramos,
segura_B,221,12,preste,
segura_B,221,13,veamos,
segura_B,221,14,éste,
sin_asignar,902,1,jerga,
sin_asignar,902,2,donado,
sin_asignar,902,3,soldado,
sin_asignar,902,4,panduerga,
sin_asignar,902,5,alberga,
sin_asignar,902,6,papirrandado,
sin_asignar,902,7,enredado,
sin_asignar,902,8,Pisuerga,
sin_asignar,902,9,cadenas,
sin_asignar,902,10,oro,
sin_asignar,902,11,Sacramento,
sin_asignar,902,12,ajenas,
sin_asignar,902,13,aposento,
sin_asignar,902,14,Toro,
sin_asignar,903,1,paños,
sin_asignar,903,2,criada,
sin_asignar,903,3,Hurtada,
sin_asignar,903,4,daños,
sin_asignar,903,5,picaños,
sin_asignar,903,6,taimada,
sin_asignar,903,7,espada,
sin_asignar,903,8,años,
sin_asignar,903,9,mercadantes,
sin_asignar,903,10,Decreto,
sin_asignar,903,11,agros,
sin_asignar,903,12,milagros,
sin_asignar,903,13,soneto,
sin_asignar,903,14,navegantes,
dudoso,458,1,sietes,
dudoso,458,2,primera,
dudoso,458,3,tercera,
dudoso,458,4,bonetes,
dudoso,458,5,sainetes,
dudoso,458,6,heredera,
dudoso,458,7,contera,
dudoso,458,8,pebetes,
dudoso,458,9,vestido,
dudoso,458,10,canario,
dudoso,458,11,nido,
dudoso,458,12,Hilario,
dudoso,458,13,oído,
dudoso,458,14,Mercenario,
sin_asignar,904,1,pones,
sin_asignar,904,2,Judas,
sin_asignar,904,3,mudas,
sin_asignar,904,4,halcones,
sin_asignar,904,5,entones,
sin_asignar,904,6,peliagudas,
sin_asignar,904,7,ayudas,
sin_asignar,904,8,figones,
sin_asignar,904,9,cuidado,
sin_asignar,904,10,delantera,
sin_asignar,904,11,mojado,
sin_asignar,904,12,manera,
sin_asignar,904,13,aforrado,
sin_asignar,904,14,trasera,
segura_B,234,1,Nápoles,
segura_B,234,2,Francia,
segura_B,234,3,día,
segura_B,234,4,caracoles,
segura_B,234,5,españoles,
segura_B,234,6,mía,
segura_B,234,7,Andalucía,
segura_B,234,8,Soles,
segura_B,234,9,digo,
segura_B,234,10,paseo,
segura_B,234,11,higo,
segura_B,234,12,creo,
segura_B,234,13,digo,
segura_B,234,14,deseo,
sin_asignar,905,1,Tordesillas,
sin_asignar,905,2,lugares,
sin_asignar,905,3,particulares,
sin_asignar,905,4,cosquillas,
sin_asignar,905,5,Villas,
sin_asignar,905,6,Olivares,
sin_asignar,905,7,millares,
sin_asignar,905,8,maravillas,
sin_asignar,905,9,aldea,
sin_asignar,905,10,alguno,
