volumen,pagina,fila_original,autor,titulo,formato,tomos,figuras,pasta,lugar,año,atado,numero,precio,transcripcion_original,continua_en_pagina,ejemplar_de,misma_obra_que
1,pagina_0010-OCR.json,1,Abadie (M. r Jacques),Traité de la vérité de la Religion chrétienne,8º,4 tomos,No,rústica,La Haye,1771,,162,40,Abadie (M. r Jacques) Traité de la vérité de la Religion chrétienne 8º 4 tomos La Haye 1771 Nº 162 40,,,
1,pagina_0010-OCR.json,2,Abami (Petri),Conciliator controversiarum quæ inter Philosophos et Medicos versantur,fol.,,No,pasta,Venetiis,1548,,11,45,Abami (Petri) Conciliator controversiarum quæ inter Philosophos et Medicos versantur fol. Venetiis 1548 Nº 11. Past 45,,,
1,pagina_0010-OCR.json,3,Abarca (P. Pedro),Anales de los Reyes de Aragon,fol.,2 tomos,No,no consta,Madrid,1682,,141,60,Abarca (P. Pedro) Anales de los Reyes de Aragón fol. Madrid 1682 Nº 141 2 tomos 60,,,
1,pagina_0010-OCR.json,4,Abaunza (D.n Petri de),Commentarius ad tit. de Sagitariis,4º,,No,no consta,Hispali,1627,,271,6,Abaunza (D. n Petride) Commentarius ad tit. de Sagittariis 4º Hispani 1627 Nº 271 6,,,
1,pagina_0010-OCR.json,5,[Anónimo],"Abecedario General de los pribilegios, y concordias del Consejo a la Mesta",fol.,,No,no consta,,1629,,287,6,"Abecedario General de los privilegios, y concordias del Consejo de la Mesta fol. 1629 Nº 287 6",,,
1,pagina_0010-OCR.json,6,Abela (Francisco),Descrizione di Malta,fol.,,Sí,no consta,Malta,1647,,53,90,Abela (Francisco) Descrizione di Malta fol. in Malta 1647 illuminata da figuras Nº 53 90,,,
1,pagina_0010-OCR.json,7,Abella (D. n Antonio Joseph de),Geometría especulativa de Euclides,4º,,No,no consta,Zaragoza,1723,,40,18,Abella (D. n Antonio Joseph de) Geometría especulativa de Euclides 4º Zaragoza 1723 Nº 40 18,,,
1,pagina_0010-OCR.json,8,Abensalexo (Pasqual de),"Almutacafes crla dificultades, y advertencias a los pesos, y medidas, Precios &c.",4º,,No,no consta,Zaragoza,1609,,40,8,"Abensalexo (Pasqual de) Arithmetica para las dificultades, y advertencias a los pesos, y medidas 4º Zaragoza Nº 40 8  N.º 124",pagina_0011-OCR.json,,
1,pagina_0011-OCR.json,1,[Anónimo],Abrege Chronologique de l'histoire des Empereurs,12º,2 tom.,No,no consta,Paris,1753,,124,18,Abrege Chronologique de l'histoire des Empereurs: 12° 2tom. Paris 1753 Nº 124 1609 18,,,
1,pagina_0011-OCR.json,2,[Anónimo],Abregé Des Comentaires de M.r de Folard sur l'histoire de Polybe,4º,3 tom.,Sí,pasta,Paris,1754,,302,28,Abrege Des Commentaires de Mr. de Folard sur l'histoire de Polybe 4° Pasta 3tom. fig. Paris 1754 Nº 302 Nº 92 28,,,
1,pagina_0011-OCR.json,3,Aben David Alsahagii (Mahumet),Gramatica Arabiga,4º,,No,no consta,Roma,1592,,139,18,Aben David Alsa Hagii (Mahumet) Grammatica Arabica. 4° Roma 1592 Nº 139 18,,,
